,number,pos_match_num,group_match_num,field_match_num,pos_match_per,group_match_per,field_match_per,datetime_start,datetime_complete,duration,alpha,beta,gamma,k,only_content_feature,top_n_feature,top_n_target,window_size,state
53,53,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 11:27:30.978943,2022-08-03 11:37:34.922945,0 days 00:10:03.944002,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
54,54,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 11:37:34.925443,2022-08-03 11:49:13.745559,0 days 00:11:38.820116,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
55,55,1281.0,123.0,62.0,0.4552238805970149,0.04371002132196162,0.02203269367448472,2022-08-03 11:49:13.747778,2022-08-03 12:17:55.946716,0 days 00:28:42.198938,0.6,0.8,0.6,100,True,3000,1000,3,COMPLETE
56,56,29.0,9.0,9.0,0.4393939393939394,0.13636363636363635,0.13636363636363635,2022-08-03 12:17:55.948995,2022-08-03 12:25:25.481393,0 days 00:07:29.532398,0.2,0.8,0.6,100,True,2000,1000,3,COMPLETE
57,57,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 12:25:25.482330,2022-08-03 12:43:49.271991,0 days 00:18:23.789661,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
58,58,1281.0,123.0,62.0,0.45554765291607396,0.043741109530583216,0.022048364153627313,2022-08-03 12:43:49.273995,2022-08-03 13:15:13.622419,0 days 00:31:24.348424,0.6,0.6000000000000001,0.2,100,True,3000,1000,3,COMPLETE
59,59,22.0,6.0,6.0,0.41509433962264153,0.11320754716981132,0.11320754716981132,2022-08-03 13:15:13.626276,2022-08-03 13:19:39.724627,0 days 00:04:26.098351,0.2,0.8,0.6,100,True,3000,500,3,COMPLETE
60,60,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 13:19:39.725563,2022-08-03 13:33:21.092816,0 days 00:13:41.367253,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
61,61,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 13:33:21.095845,2022-08-03 13:50:29.359102,0 days 00:17:08.263257,0.4,0.6000000000000001,0.6,100,True,3000,1000,3,COMPLETE
62,62,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 13:50:29.360799,2022-08-03 14:03:17.010852,0 days 00:12:47.650053,0.4,0.4,0.4,100,True,2000,1000,3,COMPLETE
63,63,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 14:03:17.013177,2022-08-03 14:17:29.633168,0 days 00:14:12.619991,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
64,64,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 14:17:29.635701,2022-08-03 14:28:58.247165,0 days 00:11:28.611464,0.4,0.4,0.2,100,True,3000,1000,3,COMPLETE
65,65,37.0,4.0,1.0,0.053857350800582245,0.005822416302765648,0.001455604075691412,2022-08-03 14:28:58.249260,2022-08-03 14:34:27.076183,0 days 00:05:28.826923,0.6,0.6000000000000001,0.6,100,True,3000,500,3,COMPLETE
66,66,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 14:34:27.077398,2022-08-03 14:47:09.151579,0 days 00:12:42.074181,0.4,0.8,0.6,100,True,2000,1000,3,COMPLETE
67,67,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 14:47:09.152582,2022-08-03 14:59:50.854521,0 days 00:12:41.701939,0.4,0.8,0.4,100,True,3000,1000,3,COMPLETE
68,68,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 14:59:50.855524,2022-08-03 15:04:14.038213,0 days 00:04:23.182689,0.4,0.6000000000000001,0.6,100,True,3000,500,3,COMPLETE
69,69,7.0,3.0,3.0,0.2916666666666667,0.125,0.125,2022-08-03 15:04:14.038563,2022-08-03 15:09:11.446310,0 days 00:04:57.407747,0.2,0.4,0.6,100,True,2000,1000,2,COMPLETE
70,70,1281.0,123.0,62.0,0.45554765291607396,0.043741109530583216,0.022048364153627313,2022-08-03 15:09:11.447734,2022-08-03 15:44:34.260787,0 days 00:35:22.813053,0.6,0.8,0.2,100,True,3000,1000,3,COMPLETE
71,71,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 15:44:34.266732,2022-08-03 15:52:38.763858,0 days 00:08:04.497126,0.4,0.4,0.4,100,True,3000,1000,2,COMPLETE
72,72,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 15:52:38.765029,2022-08-03 16:00:32.272595,0 days 00:07:53.507566,0.4,0.6000000000000001,0.4,100,True,3000,1000,2,COMPLETE
73,73,442.0,59.0,42.0,0.48253275109170307,0.06441048034934498,0.04585152838427948,2022-08-03 16:00:32.273759,2022-08-03 16:04:04.998243,0 days 00:03:32.724484,0.4,0.6000000000000001,0.6,100,False,2000,500,3,COMPLETE
74,74,7.0,3.0,3.0,0.2916666666666667,0.125,0.125,2022-08-03 16:04:04.998978,2022-08-03 16:09:03.918206,0 days 00:04:58.919228,0.2,0.4,0.6,100,True,3000,1000,2,COMPLETE
75,75,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 16:09:03.920944,2022-08-03 16:18:17.108501,0 days 00:09:13.187557,0.4,0.8,0.4,100,False,3000,1000,3,COMPLETE
76,76,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 16:18:17.109412,2022-08-03 16:24:11.047226,0 days 00:05:53.937814,0.4,0.6000000000000001,0.6,100,True,3000,1000,2,COMPLETE
77,77,71.0,7.0,3.0,0.12979890310786105,0.012797074954296161,0.005484460694698354,2022-08-03 16:24:11.048147,2022-08-03 16:26:24.396364,0 days 00:02:13.348217,0.6,0.8,0.6,100,False,2000,500,3,COMPLETE
78,78,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 16:26:24.397239,2022-08-03 16:32:09.762742,0 days 00:05:45.365503,0.4,0.4,0.2,100,True,3000,1000,2,COMPLETE
79,79,29.0,9.0,9.0,0.4393939393939394,0.13636363636363635,0.13636363636363635,2022-08-03 16:32:09.763084,2022-08-03 16:36:34.152822,0 days 00:04:24.389738,0.2,0.6000000000000001,0.6,100,False,3000,1000,3,COMPLETE
80,80,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 16:36:34.153467,2022-08-03 16:41:36.340419,0 days 00:05:02.186952,0.4,0.8,0.4,100,True,3000,500,3,COMPLETE
81,81,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 16:41:36.341352,2022-08-03 16:47:43.834338,0 days 00:06:07.492986,0.4,0.8,0.6,100,True,2000,1000,2,COMPLETE
